[2025-06-03 14:04:05] IP: 34.159.228.118 → Porta: 2121 ⏳ NOVA
[2025-06-04 03:02:14] IP: 160.250.133.35 → Porta: 2121 ⏳ NOVA
[2025-06-04 03:07:56] IP: 104.156.155.9 → Porta: 2121 ⏳ NOVA
[2025-06-04 11:53:47] IP: 34.39.17.75 → Porta: 2121 ⏳ NOVA
[2025-06-04 16:21:06] IP: 34.39.17.75 → Porta: 2121 ⏳ NOVA
[2025-06-04 17:58:25] IP: 34.39.17.75 → Porta: 2121 ⏳ NOVA
[2025-06-04 22:04:54] IP: 34.39.17.75 → Porta: 2121 ⏳ NOVA
[2025-06-04 23:07:04] IP: 160.250.133.35 → Porta: 2121 ⏳ NOVA
[2025-06-05 04:12:28] IP: 34.39.17.75 → Porta: 2121 ⏳ NOVA
[2025-06-05 04:57:19] IP: 34.39.17.75 → Porta: 2121 ⏳ NOVA
[2025-06-05 06:30:06] IP: 34.39.17.75 → Porta: 2121 ⏳ NOVA
[2025-06-05 09:46:01] IP: 34.47.180.188 → Porta: 2121 ⏳ NOVA
[2025-06-05 21:39:23] IP: 34.47.180.188 → Porta: 2121 ⏳ NOVA
[2025-06-05 21:46:13] IP: 34.47.180.188 → Porta: 2121 ⏳ NOVA
[2025-06-06 03:12:47] IP: 34.47.180.188 → Porta: 2121 ⏳ NOVA
[2025-06-06 07:39:51] IP: 58.59.233.148 → Porta: 2121 ⏳ NOVA
[2025-06-06 09:46:34] IP: 113.194.178.16 → Porta: 2121 ⏳ NOVA
[2025-06-06 09:46:37] IP: 113.194.178.16 → Porta: 2121 ⏳ NOVA
[2025-06-06 16:53:53] IP: 34.89.139.55 → Porta: 2121 ⏳ NOVA
