[2025-06-14 22:27:20] IP: 207.167.66.226 → Porta: 19112 ⏳ NOVA
[2025-06-16 01:23:08] IP: 109.68.118.74 → Porta: 19112 ⏳ NOVA
[2025-06-16 01:23:09] IP: 109.68.118.74 → Porta: 19112 ⏳ NOVA
[2025-06-16 01:23:11] IP: 109.68.118.74 → Porta: 19112 ⏳ NOVA
[2025-06-16 01:23:13] IP: 39.77.152.48 → Porta: 19112 ⏳ NOVA
[2025-06-16 01:23:14] IP: 39.77.152.48 → Porta: 19112 ⏳ NOVA
[2025-06-16 01:23:15] IP: 109.68.118.74 → Porta: 19112 ⏳ NOVA
[2025-06-16 01:23:23] IP: 109.68.118.74 → Porta: 19112 ⏳ NOVA
[2025-06-16 01:24:00] IP: 39.77.152.48 → Porta: 19112 ⏳ NOVA
[2025-06-16 01:24:03] IP: 39.77.152.48 → Porta: 19112 ⏳ NOVA
[2025-06-16 01:24:07] IP: 39.77.152.48 → Porta: 19112 ⏳ NOVA
[2025-06-16 01:24:15] IP: 39.77.152.48 → Porta: 19112 ⏳ NOVA
[2025-06-16 01:24:47] IP: 39.77.152.48 → Porta: 19112 ⏳ NOVA
[2025-06-16 01:24:50] IP: 39.77.152.48 → Porta: 19112 ⏳ NOVA
[2025-06-16 01:25:02] IP: 39.77.152.48 → Porta: 19112 ⏳ NOVA
[2025-06-16 01:25:22] IP: 109.68.118.74 → Porta: 19112 ⏳ NOVA
[2025-06-16 01:25:23] IP: 109.68.118.74 → Porta: 19112 ⏳ NOVA
[2025-06-16 01:25:25] IP: 109.68.118.74 → Porta: 19112 ⏳ NOVA
[2025-06-16 01:25:29] IP: 109.68.118.74 → Porta: 19112 ⏳ NOVA
[2025-06-16 01:25:37] IP: 109.68.118.74 → Porta: 19112 ⏳ NOVA
[2025-06-16 01:28:52] IP: 109.68.118.74 → Porta: 19112 ⏳ NOVA
[2025-06-16 01:28:53] IP: 109.68.118.74 → Porta: 19112 ⏳ NOVA
[2025-06-16 01:28:55] IP: 109.68.118.74 → Porta: 19112 ⏳ NOVA
[2025-06-16 01:28:59] IP: 109.68.118.74 → Porta: 19112 ⏳ NOVA
[2025-06-16 01:29:07] IP: 109.68.118.74 → Porta: 19112 ⏳ NOVA
