[2025-06-18 23:27:39] IP: 104.156.155.11 → Porta: 4242 ⏳ NOVA
[2025-06-19 09:30:55] IP: 167.94.138.154 → Porta: 4242 ⏳ NOVA
[2025-06-20 06:16:05] IP: 167.94.145.22 → Porta: 4242 ⏳ NOVA
[2025-06-20 06:16:13] IP: 167.94.146.54 → Porta: 4242 ⏳ NOVA
[2025-06-20 06:16:16] IP: 167.94.146.54 → Porta: 4242 ⏳ NOVA
[2025-06-20 06:16:20] IP: 167.94.146.54 → Porta: 4242 ⏳ NOVA
[2025-06-20 06:16:20] IP: 167.94.146.54 → Porta: 4242 ⏳ NOVA
[2025-06-20 06:16:28] IP: 167.94.146.54 → Porta: 4242 ⏳ NOVA
[2025-06-20 06:16:29] IP: 167.94.146.54 → Porta: 4242 ⏳ NOVA
[2025-06-20 06:16:30] IP: 167.94.146.54 → Porta: 4242 ⏳ NOVA
[2025-06-20 06:16:30] IP: 167.94.146.54 → Porta: 4242 ⏳ NOVA
[2025-06-20 06:16:36] IP: 167.94.146.54 → Porta: 4242 ⏳ NOVA
[2025-06-20 06:16:37] IP: 167.94.146.54 → Porta: 4242 ⏳ NOVA
[2025-06-20 06:16:37] IP: 167.94.146.54 → Porta: 4242 ⏳ NOVA
[2025-06-20 06:16:42] IP: 167.94.146.54 → Porta: 4242 ⏳ NOVA
[2025-06-20 06:16:43] IP: 167.94.146.54 → Porta: 4242 ⏳ NOVA
[2025-06-20 06:16:43] IP: 167.94.145.64 → Porta: 4242 ⏳ NOVA
[2025-06-21 06:50:45] IP: 206.168.34.214 → Porta: 4242 ⏳ NOVA
[2025-06-21 06:50:49] IP: 206.168.34.214 → Porta: 4242 ⏳ NOVA
[2025-06-21 06:50:56] IP: 206.168.34.214 → Porta: 4242 ⏳ NOVA
[2025-06-21 06:50:59] IP: 206.168.34.214 → Porta: 4242 ⏳ NOVA
[2025-06-21 06:51:11] IP: 206.168.34.214 → Porta: 4242 ⏳ NOVA
[2025-06-21 06:51:13] IP: 206.168.34.214 → Porta: 4242 ⏳ NOVA
[2025-06-21 06:51:21] IP: 206.168.34.214 → Porta: 4242 ⏳ NOVA
[2025-06-21 06:51:26] IP: 206.168.34.214 → Porta: 4242 ⏳ NOVA
[2025-06-21 13:13:56] IP: 34.152.21.211 → Porta: 4242 ⏳ NOVA
[2025-06-21 13:14:00] IP: 34.152.21.211 → Porta: 4242 ⏳ NOVA
[2025-06-22 13:15:36] IP: 34.13.177.180 → Porta: 4242 ⏳ NOVA
[2025-06-22 13:15:42] IP: 34.13.177.180 → Porta: 4242 ⏳ NOVA
[2025-06-22 15:23:48] IP: 206.168.34.204 → Porta: 4242 ⏳ NOVA
[2025-06-22 15:23:53] IP: 206.168.34.204 → Porta: 4242 ⏳ NOVA
[2025-06-22 15:24:01] IP: 206.168.34.204 → Porta: 4242 ⏳ NOVA
[2025-06-22 15:24:14] IP: 206.168.34.204 → Porta: 4242 ⏳ NOVA
[2025-06-22 15:24:20] IP: 206.168.34.204 → Porta: 4242 ⏳ NOVA
[2025-06-22 15:24:24] IP: 206.168.34.204 → Porta: 4242 ⏳ NOVA
[2025-06-22 15:24:35] IP: 206.168.34.204 → Porta: 4242 ⏳ NOVA
[2025-06-22 15:24:38] IP: 206.168.34.204 → Porta: 4242 ⏳ NOVA
[2025-06-23 13:15:36] IP: 34.39.103.239 → Porta: 4242 ⏳ NOVA
[2025-06-23 13:15:43] IP: 34.39.103.239 → Porta: 4242 ⏳ NOVA
[2025-06-23 19:18:57] IP: 167.94.138.143 → Porta: 4242 ⏳ NOVA
[2025-06-24 01:05:31] IP: 167.94.146.16 → Porta: 4242 ⏳ NOVA
[2025-06-24 13:14:55] IP: 34.141.219.221 → Porta: 4242 ⏳ NOVA
[2025-06-24 13:15:01] IP: 34.141.219.221 → Porta: 4242 ⏳ NOVA
[2025-06-25 13:14:34] IP: 34.65.0.245 → Porta: 4242 ⏳ NOVA
[2025-06-25 13:14:40] IP: 34.65.0.245 → Porta: 4242 ⏳ NOVA
[2025-06-26 06:22:01] IP: 167.94.146.18 → Porta: 4242 ⏳ NOVA
[2025-06-27 15:17:06] IP: 46.17.96.38 → Porta: 4242 ⏳ NOVA
[2025-06-29 08:38:10] IP: 167.94.138.135 → Porta: 4242 ⏳ NOVA
[2025-06-30 23:51:57] IP: 167.94.145.26 → Porta: 4242 ⏳ NOVA
[2025-07-01 06:02:42] IP: 167.94.138.154 → Porta: 4242 ⏳ NOVA
[2025-07-01 09:39:22] IP: 79.124.49.134 → Porta: 4242 ⏳ NOVA
