[2025-06-03 17:21:52] IP: 83.222.191.178 → Porta: 7946 ⏳ NOVA
[2025-06-04 12:34:30] IP: 69.62.88.220 → Porta: 7946 ⏳ NOVA
[2025-06-04 12:34:57] IP: 82.29.62.85 → Porta: 7946 ⏳ NOVA
[2025-06-04 12:34:57] IP: 89.116.186.78 → Porta: 7946 ⏳ NOVA
[2025-06-04 12:34:59] IP: 85.31.63.233 → Porta: 7946 ⏳ NOVA
[2025-06-04 12:35:13] IP: 92.113.38.27 → Porta: 7946 ⏳ NOVA
[2025-06-04 12:35:14] IP: 82.25.79.128 → Porta: 7946 ⏳ NOVA
[2025-06-04 12:35:17] IP: 147.93.32.154 → Porta: 7946 ⏳ NOVA
[2025-06-04 12:35:41] IP: 91.108.124.40 → Porta: 7946 ⏳ NOVA
[2025-06-04 12:36:05] IP: 82.29.59.170 → Porta: 7946 ⏳ NOVA
[2025-06-04 12:36:32] IP: 147.79.87.193 → Porta: 7946 ⏳ NOVA
[2025-06-04 12:36:36] IP: 217.196.62.15 → Porta: 7946 ⏳ NOVA
[2025-06-04 12:36:46] IP: 82.29.60.76 → Porta: 7946 ⏳ NOVA
[2025-06-04 12:36:47] IP: 69.62.98.185 → Porta: 7946 ⏳ NOVA
[2025-06-04 12:36:50] IP: 212.85.11.180 → Porta: 7946 ⏳ NOVA
[2025-06-04 12:37:18] IP: 82.29.61.91 → Porta: 7946 ⏳ NOVA
[2025-06-04 12:37:21] IP: 92.113.34.118 → Porta: 7946 ⏳ NOVA
[2025-06-04 12:37:32] IP: 168.231.96.188 → Porta: 7946 ⏳ NOVA
[2025-06-04 12:37:34] IP: 168.231.96.188 → Porta: 7946 ⏳ NOVA
[2025-06-04 12:37:35] IP: 168.231.96.188 → Porta: 7946 ⏳ NOVA
[2025-06-04 12:37:36] IP: 168.231.96.188 → Porta: 7946 ⏳ NOVA
[2025-06-04 12:37:36] IP: 168.231.96.188 → Porta: 7946 ⏳ NOVA
[2025-06-04 12:37:37] IP: 168.231.96.188 → Porta: 7946 ⏳ NOVA
[2025-06-04 12:37:37] IP: 168.231.96.188 → Porta: 7946 ⏳ NOVA
[2025-06-04 12:37:39] IP: 168.231.96.188 → Porta: 7946 ⏳ NOVA
[2025-06-04 12:37:43] IP: 168.231.96.188 → Porta: 7946 ⏳ NOVA
[2025-06-04 12:37:51] IP: 168.231.96.188 → Porta: 7946 ⏳ NOVA
[2025-06-04 12:37:52] IP: 168.231.96.188 → Porta: 7946 ⏳ NOVA
[2025-06-04 12:37:54] IP: 168.231.96.188 → Porta: 7946 ⏳ NOVA
[2025-06-04 12:37:58] IP: 168.231.96.188 → Porta: 7946 ⏳ NOVA
[2025-06-04 12:38:04] IP: 195.200.6.142 → Porta: 7946 ⏳ NOVA
[2025-06-04 12:38:05] IP: 195.200.6.142 → Porta: 7946 ⏳ NOVA
[2025-06-04 12:38:06] IP: 195.200.6.142 → Porta: 7946 ⏳ NOVA
[2025-06-04 12:38:51] IP: 93.127.211.188 → Porta: 7946 ⏳ NOVA
[2025-06-04 12:38:51] IP: 82.25.69.9 → Porta: 7946 ⏳ NOVA
[2025-06-04 12:38:52] IP: 69.62.93.16 → Porta: 7946 ⏳ NOVA
[2025-06-04 12:38:53] IP: 69.62.93.122 → Porta: 7946 ⏳ NOVA
[2025-06-04 12:38:53] IP: 93.127.211.188 → Porta: 7946 ⏳ NOVA
[2025-06-04 12:38:56] IP: 69.62.95.81 → Porta: 7946 ⏳ NOVA
[2025-06-04 12:38:57] IP: 69.62.95.81 → Porta: 7946 ⏳ NOVA
[2025-06-04 12:38:58] IP: 69.62.95.81 → Porta: 7946 ⏳ NOVA
[2025-06-04 12:38:59] IP: 69.62.95.81 → Porta: 7946 ⏳ NOVA
