[2025-05-18 23:35:28] IP: 45.135.194.28 → Porta: 34567 ⏳ NOVA
[2025-05-19 09:07:12] IP: 176.65.148.213 → Porta: 34567 ⏳ NOVA
[2025-05-19 09:43:53] IP: 176.65.148.194 → Porta: 34567 ⏳ NOVA
[2025-05-19 13:35:41] IP: 176.65.148.194 → Porta: 34567 ⏳ NOVA
[2025-05-19 13:53:15] IP: 176.65.148.213 → Porta: 34567 ⏳ NOVA
[2025-05-19 16:19:49] IP: 176.65.148.213 → Porta: 34567 ⏳ NOVA
[2025-05-19 18:57:00] IP: 176.65.148.194 → Porta: 34567 ⏳ NOVA
[2025-05-19 19:17:56] IP: 176.65.148.213 → Porta: 34567 ⏳ NOVA
[2025-05-20 02:03:17] IP: 176.65.148.213 → Porta: 34567 ⏳ NOVA
[2025-05-20 21:35:41] IP: 46.17.241.93 → Porta: 34567 ⏳ NOVA
