[2025-05-18 17:38:40] IP: 142.93.13.217 → Porta: 8088 ❌ BLOQUEADA
[2025-05-18 19:14:17] IP: 40.124.173.206 → Porta: 8088 ⏳ NOVA
[2025-05-19 04:25:09] IP: 64.23.144.194 → Porta: 8088 ⏳ NOVA
[2025-05-19 17:44:49] IP: 178.173.242.224 → Porta: 8088 ⏳ NOVA
[2025-05-20 00:27:53] IP: 83.222.190.246 → Porta: 8088 ⏳ NOVA
[2025-05-20 01:19:29] IP: 137.184.154.73 → Porta: 8088 ⏳ NOVA
[2025-05-20 02:37:42] IP: 77.105.133.158 → Porta: 8088 ⏳ NOVA
[2025-05-20 11:00:29] IP: 167.94.146.23 → Porta: 8088 ⏳ NOVA
[2025-05-20 11:15:43] IP: 104.156.155.13 → Porta: 8088 ⏳ NOVA
[2025-05-20 17:55:15] IP: 93.123.109.125 → Porta: 8088 ⏳ NOVA
[2025-05-20 19:49:50] IP: 178.128.224.241 → Porta: 8088 ⏳ NOVA
[2025-05-20 23:05:15] IP: 167.94.138.147 → Porta: 8088 ⏳ NOVA
[2025-05-21 00:36:50] IP: 162.142.125.82 → Porta: 8088 ⏳ NOVA
[2025-05-21 00:56:13] IP: 164.92.179.254 → Porta: 8088 ⏳ NOVA
