[2025-06-19 09:18:04] IP: 89.144.15.27 → Porta: 25567 ⏳ NOVA
[2025-06-20 14:40:57] IP: 95.164.45.87 → Porta: 25567 ⏳ NOVA
[2025-06-20 14:55:44] IP: 45.138.157.60 → Porta: 25567 ⏳ NOVA
[2025-06-20 15:02:56] IP: 45.131.108.73 → Porta: 25567 ⏳ NOVA
[2025-06-20 15:08:13] IP: 95.164.6.251 → Porta: 25567 ⏳ NOVA
[2025-06-20 15:12:07] IP: 95.164.45.87 → Porta: 25567 ⏳ NOVA
[2025-06-20 15:12:35] IP: 45.138.157.66 → Porta: 25567 ⏳ NOVA
[2025-06-20 15:12:37] IP: 45.131.108.73 → Porta: 25567 ⏳ NOVA
[2025-06-20 15:20:14] IP: 45.144.30.233 → Porta: 25567 ⏳ NOVA
[2025-06-20 15:22:02] IP: 95.164.45.87 → Porta: 25567 ⏳ NOVA
[2025-06-20 15:22:55] IP: 45.144.30.233 → Porta: 25567 ⏳ NOVA
[2025-06-20 15:23:01] IP: 45.138.157.60 → Porta: 25567 ⏳ NOVA
[2025-06-20 15:27:26] IP: 45.144.30.233 → Porta: 25567 ⏳ NOVA
[2025-06-20 15:27:48] IP: 45.144.30.233 → Porta: 25567 ⏳ NOVA
[2025-06-20 15:40:40] IP: 45.144.30.224 → Porta: 25567 ⏳ NOVA
