[2025-06-03 01:34:30] IP: 146.190.77.30 → Porta: 8728 ⏳ NOVA
[2025-06-04 00:12:36] IP: 170.39.218.142 → Porta: 8728 ⏳ NOVA
[2025-06-05 06:07:07] IP: 194.50.16.198 → Porta: 8728 ⏳ NOVA
[2025-06-05 09:36:44] IP: 194.50.16.198 → Porta: 8728 ⏳ NOVA
[2025-06-05 12:15:20] IP: 194.50.16.198 → Porta: 8728 ⏳ NOVA
[2025-06-05 12:15:59] IP: 194.50.16.198 → Porta: 8728 ⏳ NOVA
[2025-06-05 12:16:47] IP: 194.50.16.198 → Porta: 8728 ⏳ NOVA
[2025-06-05 12:19:09] IP: 194.50.16.198 → Porta: 8728 ⏳ NOVA
[2025-06-05 17:49:04] IP: 194.50.16.198 → Porta: 8728 ⏳ NOVA
[2025-06-05 17:53:30] IP: 194.50.16.198 → Porta: 8728 ⏳ NOVA
[2025-06-05 20:11:44] IP: 194.50.16.198 → Porta: 8728 ⏳ NOVA
[2025-06-05 20:33:49] IP: 194.50.16.198 → Porta: 8728 ⏳ NOVA
[2025-06-05 23:31:34] IP: 194.50.16.198 → Porta: 8728 ⏳ NOVA
[2025-06-06 02:26:05] IP: 194.50.16.198 → Porta: 8728 ⏳ NOVA
[2025-06-06 02:31:58] IP: 194.50.16.198 → Porta: 8728 ⏳ NOVA
[2025-06-06 04:14:34] IP: 141.98.11.89 → Porta: 8728 ⏳ NOVA
[2025-06-06 04:22:40] IP: 141.98.11.89 → Porta: 8728 ⏳ NOVA
[2025-06-06 04:32:02] IP: 141.98.11.89 → Porta: 8728 ⏳ NOVA
[2025-06-06 04:39:49] IP: 141.98.11.89 → Porta: 8728 ⏳ NOVA
[2025-06-06 04:41:13] IP: 141.98.11.89 → Porta: 8728 ⏳ NOVA
[2025-06-06 04:45:12] IP: 141.98.11.89 → Porta: 8728 ⏳ NOVA
