[2025-06-03 22:29:42] IP: 104.156.155.9 → Porta: 52869 ⏳ NOVA
[2025-06-04 13:12:02] IP: 167.94.146.70 → Porta: 52869 ⏳ NOVA
[2025-06-04 13:16:20] IP: 103.182.116.91 → Porta: 52869 ⏳ NOVA
[2025-06-04 23:56:36] IP: 45.230.66.44 → Porta: 52869 ⏳ NOVA
[2025-06-06 14:24:17] IP: 120.86.237.217 → Porta: 52869 ⏳ NOVA
[2025-06-06 14:24:18] IP: 120.86.237.217 → Porta: 52869 ⏳ NOVA
[2025-06-06 14:24:20] IP: 120.86.237.217 → Porta: 52869 ⏳ NOVA
[2025-06-06 16:41:36] IP: 45.230.66.54 → Porta: 52869 ⏳ NOVA
[2025-06-06 16:41:37] IP: 45.230.66.54 → Porta: 52869 ⏳ NOVA
[2025-06-06 16:41:39] IP: 45.230.66.54 → Porta: 52869 ⏳ NOVA
[2025-06-06 16:41:43] IP: 45.230.66.54 → Porta: 52869 ⏳ NOVA
