[2025-06-03 22:57:54] IP: 104.156.155.9 → Porta: 60001 ⏳ NOVA
[2025-06-04 10:17:18] IP: 117.212.56.103 → Porta: 60001 ⏳ NOVA
[2025-06-04 16:09:16] IP: 176.100.39.169 → Porta: 60001 ⏳ NOVA
[2025-06-04 17:23:59] IP: 222.141.137.199 → Porta: 60001 ⏳ NOVA
[2025-06-04 17:46:02] IP: 79.124.8.120 → Porta: 60001 ⏳ NOVA
[2025-06-04 18:11:22] IP: 79.124.8.120 → Porta: 60001 ⏳ NOVA
[2025-06-04 18:17:58] IP: 79.124.8.120 → Porta: 60001 ⏳ NOVA
[2025-06-04 18:28:26] IP: 79.124.8.120 → Porta: 60001 ⏳ NOVA
[2025-06-04 19:07:53] IP: 79.124.8.120 → Porta: 60001 ⏳ NOVA
[2025-06-04 19:33:20] IP: 79.124.8.120 → Porta: 60001 ⏳ NOVA
[2025-06-04 19:35:41] IP: 79.124.8.120 → Porta: 60001 ⏳ NOVA
[2025-06-04 19:43:48] IP: 79.124.8.120 → Porta: 60001 ⏳ NOVA
