[2025-05-18 18:03:57] IP: 190.211.255.218 → Porta: 82 ❌ BLOQUEADA
[2025-05-18 22:18:40] IP: 153.130.156.18 → Porta: 82 ⏳ NOVA
[2025-05-18 22:18:44] IP: 153.130.156.18 → Porta: 82 ⏳ NOVA
[2025-05-18 23:03:57] IP: 190.211.255.218 → Porta: 82 ⏳ NOVA
[2025-05-19 08:02:26] IP: 77.105.133.158 → Porta: 82 ⏳ NOVA
[2025-05-19 08:29:14] IP: 162.243.99.110 → Porta: 82 ⏳ NOVA
[2025-05-19 16:41:10] IP: 117.245.198.168 → Porta: 82 ⏳ NOVA
[2025-05-19 23:41:01] IP: 153.204.251.241 → Porta: 82 ⏳ NOVA
[2025-05-19 23:41:02] IP: 153.204.251.241 → Porta: 82 ⏳ NOVA
[2025-05-19 23:41:04] IP: 153.204.251.241 → Porta: 82 ⏳ NOVA
[2025-05-20 06:35:32] IP: 201.243.40.27 → Porta: 82 ⏳ NOVA
[2025-05-20 06:35:33] IP: 201.243.40.27 → Porta: 82 ⏳ NOVA
[2025-05-20 08:57:29] IP: 179.43.180.114 → Porta: 82 ⏳ NOVA
[2025-05-20 09:32:20] IP: 117.207.126.64 → Porta: 82 ⏳ NOVA
[2025-05-20 09:43:34] IP: 89.31.58.162 → Porta: 82 ⏳ NOVA
[2025-05-20 11:52:58] IP: 179.43.180.114 → Porta: 82 ⏳ NOVA
[2025-05-20 17:09:47] IP: 179.43.180.114 → Porta: 82 ⏳ NOVA
[2025-05-20 18:50:13] IP: 104.156.155.13 → Porta: 82 ⏳ NOVA
[2025-05-20 20:29:00] IP: 167.94.145.16 → Porta: 82 ⏳ NOVA
[2025-05-20 20:32:54] IP: 20.0.116.221 → Porta: 82 ⏳ NOVA
