[2025-06-03 18:49:48] IP: 209.38.122.77 → Porta: 1245 ⏳ NOVA
[2025-06-05 07:38:22] IP: 178.128.145.83 → Porta: 1245 ⏳ NOVA
[2025-06-05 07:51:53] IP: 209.38.123.62 → Porta: 1245 ⏳ NOVA
[2025-06-05 08:17:56] IP: 44.220.162.206 → Porta: 1245 ⏳ NOVA
[2025-06-05 08:17:57] IP: 44.220.162.206 → Porta: 1245 ⏳ NOVA
[2025-06-05 08:17:59] IP: 44.220.162.206 → Porta: 1245 ⏳ NOVA
[2025-06-05 08:18:03] IP: 44.220.162.206 → Porta: 1245 ⏳ NOVA
[2025-06-05 20:07:15] IP: 167.71.9.31 → Porta: 1245 ⏳ NOVA
[2025-06-06 06:24:58] IP: 147.182.150.236 → Porta: 1245 ⏳ NOVA
[2025-06-07 10:52:29] IP: 54.163.38.202 → Porta: 1245 ⏳ NOVA
[2025-06-07 10:52:30] IP: 54.163.38.202 → Porta: 1245 ⏳ NOVA
[2025-06-07 10:52:33] IP: 54.163.38.202 → Porta: 1245 ⏳ NOVA
[2025-06-07 10:52:37] IP: 54.163.38.202 → Porta: 1245 ⏳ NOVA
