[2025-05-27 21:35:00] IP: 167.94.138.138 → Porta: 6443 ⏳ NOVA
[2025-05-28 03:53:23] IP: 167.94.145.17 → Porta: 6443 ⏳ NOVA
[2025-05-28 04:08:05] IP: 167.94.146.22 → Porta: 6443 ⏳ NOVA
[2025-05-28 14:06:08] IP: 168.231.98.101 → Porta: 6443 ⏳ NOVA
[2025-05-28 14:06:09] IP: 168.231.98.101 → Porta: 6443 ⏳ NOVA
[2025-05-28 14:06:11] IP: 168.231.98.101 → Porta: 6443 ⏳ NOVA
[2025-05-28 14:06:13] IP: 168.231.98.101 → Porta: 6443 ⏳ NOVA
[2025-05-28 14:06:15] IP: 168.231.98.101 → Porta: 6443 ⏳ NOVA
[2025-05-28 14:06:19] IP: 168.231.98.101 → Porta: 6443 ⏳ NOVA
[2025-05-28 14:06:22] IP: 168.231.98.101 → Porta: 6443 ⏳ NOVA
[2025-05-28 14:06:31] IP: 168.231.98.101 → Porta: 6443 ⏳ NOVA
[2025-05-28 17:53:46] IP: 167.94.138.144 → Porta: 6443 ⏳ NOVA
