[2025-06-03 23:36:31] IP: 47.79.21.116 → Porta: 38987 ⏳ NOVA
[2025-06-04 02:06:35] IP: 47.79.22.149 → Porta: 38987 ⏳ NOVA
[2025-06-04 12:19:26] IP: 196.251.83.213 → Porta: 38987 ⏳ NOVA
[2025-06-04 13:24:21] IP: 196.251.83.213 → Porta: 38987 ⏳ NOVA
[2025-06-04 13:43:47] IP: 196.251.83.213 → Porta: 38987 ⏳ NOVA
[2025-06-04 20:59:32] IP: 196.251.83.213 → Porta: 38987 ⏳ NOVA
[2025-06-05 02:59:17] IP: 196.251.83.213 → Porta: 38987 ⏳ NOVA
[2025-06-05 13:22:54] IP: 54.179.84.176 → Porta: 38987 ⏳ NOVA
[2025-06-05 15:22:29] IP: 54.179.84.176 → Porta: 38987 ⏳ NOVA
[2025-06-05 15:55:35] IP: 54.179.84.176 → Porta: 38987 ⏳ NOVA
[2025-06-05 22:41:22] IP: 54.179.84.176 → Porta: 38987 ⏳ NOVA
[2025-06-05 22:44:31] IP: 54.179.84.176 → Porta: 38987 ⏳ NOVA
